,Symbol,Return,Security,GICS Sector,vol
38,CDW,0.3365249590192039,CDW,Information Technology,0.2858197716157358
32,TDG,0.3473935764828799,TransDigm Group,Industrials,0.3405345930012203
22,MA,0.3884631089343804,Mastercard,Information Technology,0.3456500157276317
15,AVGO,0.419182523719505,Broadcom Inc.,Information Technology,0.3542669638305386
36,DPZ,0.3414494447982035,Domino's,Consumer Discretionary,0.3593560961175963
28,TSCO,0.3650179848289565,Tractor Supply,Consumer Discretionary,0.37443456555753823
35,CTVA,0.3428015772585284,Corteva,Materials,0.38931670515503314
18,GNRC,0.4100270069195579,Generac,Industrials,0.4081342088556177
27,AAPL,0.3704472245597656,Apple Inc.,Information Technology,0.41127869564301545
